Year,borough,geography,geography_id,Mean (mcg per cubic meter),10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),
Summer 2009,New York City, New York City,1,10.7 ,9.7 ,11.9 ,
Summer 2010,New York City, New York City,1,11.8 ,11.0 ,13.1 ,
Summer 2011,New York City, New York City,1,11.5 ,10.7 ,12.6 ,
Summer 2012,New York City, New York City,1,10.3 ,9.5 ,11.4 ,
Summer 2013,New York City, New York City,1,10.2 ,9.1 ,11.3 ,
Summer 2014,New York City, New York City,1,8.5 ,7.5 ,9.9 ,
Winter 2008-09,New York City, New York City,1,12.9 ,11.2 ,14.8 ,
Winter 2009-10,New York City, New York City,1,9.9 ,8.6 ,11.5 ,
Winter 2010-11,New York City, New York City,1,12.6 ,11.2 ,14.4 ,
Winter 2011-12,New York City, New York City,1,9.2 ,7.9 ,10.9 ,
Winter 2012-13,New York City, New York City,1,10.3 ,9.3 ,12.1 ,
Winter 2013-14,New York City, New York City,1,11.9 ,10.6 ,13.4 ,
Summer 2009,Bronx, Bronx,1,10.7 ,9.9 ,11.7 ,
Summer 2010,Bronx, Bronx,1,12.1 ,11.4 ,13.0 ,
Summer 2011,Bronx, Bronx,1,11.7 ,10.9 ,12.5 ,
Summer 2012,Bronx, Bronx,1,10.5 ,9.8 ,11.4 ,
Summer 2013,Bronx, Bronx,1,10.4 ,9.7 ,11.3 ,
Summer 2014,Bronx, Bronx,1,8.8 ,8.2 ,9.7 ,
Winter 2008-09,Bronx, Bronx,1,14.1 ,12.8 ,15.3 ,
Winter 2009-10,Bronx, Bronx,1,10.9 ,9.6 ,12.4 ,
Winter 2010-11,Bronx, Bronx,1,13.8 ,12.9 ,14.9 ,
Winter 2011-12,Bronx, Bronx,1,9.9 ,8.7 ,11.3 ,
Winter 2012-13,Bronx, Bronx,1,11.2 ,10.1 ,12.4 ,
Winter 2013-14,Bronx, Bronx,1,12.5 ,11.7 ,13.5 ,
Summer 2009,Brooklyn, Brooklyn,2,10.9 ,10.1 ,12.0 ,
Summer 2010,Brooklyn, Brooklyn,2,12.0 ,11.2 ,13.1 ,
Summer 2011,Brooklyn, Brooklyn,2,11.6 ,10.8 ,12.6 ,
Summer 2012,Brooklyn, Brooklyn,2,10.4 ,9.7 ,11.5 ,
Summer 2013,Brooklyn, Brooklyn,2,10.3 ,9.5 ,11.3 ,
Summer 2014,Brooklyn, Brooklyn,2,8.8 ,7.9 ,10.2 ,
Winter 2008-09,Brooklyn, Brooklyn,2,12.9 ,11.2 ,14.4 ,
Winter 2009-10,Brooklyn, Brooklyn,2,10.0 ,9.0 ,10.9 ,
Winter 2010-11,Brooklyn, Brooklyn,2,12.6 ,11.4 ,14.0 ,
Winter 2011-12,Brooklyn, Brooklyn,2,9.2 ,7.9 ,10.5 ,
Winter 2012-13,Brooklyn, Brooklyn,2,10.3 ,9.5 ,11.5 ,
Winter 2013-14,Brooklyn, Brooklyn,2,11.9 ,10.8 ,13.2 ,
Summer 2009,Manhattan, Manhattan,3,12.6 ,11.0 ,14.9 ,
Summer 2010,Manhattan, Manhattan,3,13.4 ,12.2 ,15.3 ,
Summer 2011,Manhattan, Manhattan,3,12.9 ,11.6 ,14.7 ,
Summer 2012,Manhattan, Manhattan,3,11.8 ,10.5 ,13.9 ,
Summer 2013,Manhattan, Manhattan,3,11.8 ,10.4 ,14.0 ,
Summer 2014,Manhattan, Manhattan,3,10.3 ,8.9 ,12.3 ,
Winter 2008-09,Manhattan, Manhattan,3,15.3 ,14.0 ,17.4 ,
Winter 2009-10,Manhattan, Manhattan,3,12.0 ,10.2 ,14.1 ,
Winter 2010-11,Manhattan, Manhattan,3,14.8 ,13.8 ,16.2 ,
Winter 2011-12,Manhattan, Manhattan,3,11.3 ,10.1 ,13.0 ,
Winter 2012-13,Manhattan, Manhattan,3,12.8 ,11.6 ,14.9 ,
Winter 2013-14,Manhattan, Manhattan,3,14.1 ,12.7 ,16.3 ,
Summer 2009,Queens, Queens,4,10.3 ,9.5 ,11.2 ,
Summer 2010,Queens, Queens,4,11.5 ,10.8 ,12.4 ,
Summer 2011,Queens, Queens,4,11.2 ,10.6 ,12.0 ,
Summer 2012,Queens, Queens,4,10.1 ,9.4 ,10.8 ,
Summer 2013,Queens, Queens,4,10.1 ,9.5 ,10.8 ,
Summer 2014,Queens, Queens,4,8.2 ,7.5 ,9.1 ,
Winter 2008-09,Queens, Queens,4,12.6 ,11.4 ,13.7 ,
Winter 2009-10,Queens, Queens,4,9.4 ,8.5 ,10.3 ,
Winter 2010-11,Queens, Queens,4,12.1 ,11.1 ,13.2 ,
Winter 2011-12,Queens, Queens,4,8.8 ,7.8 ,9.8 ,
Winter 2012-13,Queens, Queens,4,9.9 ,9.1 ,10.9 ,
Winter 2013-14,Queens, Queens,4,11.2 ,10.1 ,12.5 ,
Summer 2009,Staten Island, Staten Island,5,10.5 ,10.1 ,11.1 ,
Summer 2010,Staten Island, Staten Island,5,11.4 ,11.1 ,12.0 ,
Summer 2011,Staten Island, Staten Island,5,11.1 ,10.8 ,11.6 ,
Summer 2012,Staten Island, Staten Island,5,9.9 ,9.6 ,10.4 ,
Summer 2013,Staten Island, Staten Island,5,9.3 ,8.9 ,9.9 ,
Summer 2014,Staten Island, Staten Island,5,7.8 ,7.3 ,8.5 ,
Winter 2008-09,Staten Island, Staten Island,5,11.8 ,10.9 ,12.8 ,
Winter 2009-10,Staten Island, Staten Island,5,9.1 ,8.5 ,9.8 ,
Winter 2010-11,Staten Island, Staten Island,5,11.7 ,11.1 ,12.4 ,
Winter 2011-12,Staten Island, Staten Island,5,8.4 ,7.6 ,9.3 ,
Winter 2012-13,Staten Island, Staten Island,5,9.7 ,9.3 ,10.3 ,
Winter 2013-14,Staten Island, Staten Island,5,11.8 ,11.3 ,12.5 ,
Summer 2009,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,10.8 ,10.3 ,11.5 ,
Summer 2010,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,11.7 ,11.3 ,12.4 ,
Summer 2011,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,11.3 ,10.9 ,12.1 ,
Summer 2012,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,10.2 ,9.8 ,10.9 ,
Summer 2013,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,9.9 ,9.4 ,10.6 ,
Summer 2014,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,8.5 ,8.1 ,9.2 ,
Winter 2008-09,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,12.3 ,11.6 ,13.1 ,
Winter 2009-10,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,9.8 ,9.2 ,10.6 ,
Winter 2010-11,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,12.5 ,12.0 ,13.2 ,
Winter 2011-12,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,9.0 ,8.4 ,9.8 ,
Winter 2012-13,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,10.1 ,9.6 ,10.8 ,
Winter 2013-14,Brooklyn, Bay Ridge and Dyker Heights (CD10),310,11.8 ,11.3 ,12.5 ,
Summer 2009,Queens, Bayside and Little Neck (CD11),411,9.9 ,9.4 ,10.5 ,
Summer 2010,Queens, Bayside and Little Neck (CD11),411,11.3 ,10.9 ,11.9 ,
Summer 2011,Queens, Bayside and Little Neck (CD11),411,11.0 ,10.6 ,11.6 ,
Summer 2012,Queens, Bayside and Little Neck (CD11),411,9.8 ,9.4 ,10.5 ,
Summer 2013,Queens, Bayside and Little Neck (CD11),411,9.9 ,9.5 ,10.6 ,
Summer 2014,Queens, Bayside and Little Neck (CD11),411,7.9 ,7.6 ,8.6 ,
Winter 2008-09,Queens, Bayside and Little Neck (CD11),411,12.2 ,11.6 ,12.9 ,
Winter 2009-10,Queens, Bayside and Little Neck (CD11),411,9.1 ,8.6 ,9.8 ,
Winter 2010-11,Queens, Bayside and Little Neck (CD11),411,12.1 ,11.7 ,12.8 ,
Winter 2011-12,Queens, Bayside and Little Neck (CD11),411,8.9 ,8.5 ,9.6 ,
Winter 2012-13,Queens, Bayside and Little Neck (CD11),411,9.4 ,8.9 ,10.1 ,
Winter 2013-14,Queens, Bayside and Little Neck (CD11),411,10.9 ,10.4 ,11.5 ,
Summer 2009,Brooklyn, Bedford Stuyvesant (CD3),303,11.0 ,10.6 ,11.6 ,
Summer 2010,Brooklyn, Bedford Stuyvesant (CD3),303,12.0 ,11.6 ,12.6 ,
Summer 2011,Brooklyn, Bedford Stuyvesant (CD3),303,11.6 ,11.2 ,12.1 ,
Summer 2012,Brooklyn, Bedford Stuyvesant (CD3),303,10.5 ,10.1 ,11.0 ,
Summer 2013,Brooklyn, Bedford Stuyvesant (CD3),303,10.4 ,10.0 ,10.9 ,
Summer 2014,Brooklyn, Bedford Stuyvesant (CD3),303,9.1 ,8.6 ,9.7 ,
Winter 2008-09,Brooklyn, Bedford Stuyvesant (CD3),303,13.7 ,13.3 ,14.1 ,
Winter 2009-10,Brooklyn, Bedford Stuyvesant (CD3),303,10.1 ,9.8 ,10.5 ,
Winter 2010-11,Brooklyn, Bedford Stuyvesant (CD3),303,12.9 ,12.4 ,13.5 ,
Winter 2011-12,Brooklyn, Bedford Stuyvesant (CD3),303,9.5 ,9.0 ,10.1 ,
Winter 2012-13,Brooklyn, Bedford Stuyvesant (CD3),303,10.4 ,10.0 ,11.0 ,
Winter 2013-14,Brooklyn, Bedford Stuyvesant (CD3),303,12.1 ,11.6 ,12.7 ,
Summer 2009,Bronx, Belmont and East Tremont (CD6),206,11.1 ,10.5 ,11.8 ,
Summer 2010,Bronx, Belmont and East Tremont (CD6),206,12.4 ,11.8 ,13.1 ,
Summer 2011,Bronx, Belmont and East Tremont (CD6),206,11.9 ,11.4 ,12.6 ,
Summer 2012,Bronx, Belmont and East Tremont (CD6),206,10.8 ,10.2 ,11.5 ,
Summer 2013,Bronx, Belmont and East Tremont (CD6),206,10.7 ,10.2 ,11.4 ,
Summer 2014,Bronx, Belmont and East Tremont (CD6),206,9.1 ,8.5 ,9.8 ,
Winter 2008-09,Bronx, Belmont and East Tremont (CD6),206,14.8 ,14.1 ,15.4 ,
Winter 2009-10,Bronx, Belmont and East Tremont (CD6),206,11.8 ,11.1 ,12.5 ,
Winter 2010-11,Bronx, Belmont and East Tremont (CD6),206,14.4 ,13.8 ,15.1 ,
Winter 2011-12,Bronx, Belmont and East Tremont (CD6),206,10.6 ,10.0 ,11.4 ,
Winter 2012-13,Bronx, Belmont and East Tremont (CD6),206,11.7 ,11.1 ,12.4 ,
Winter 2013-14,Bronx, Belmont and East Tremont (CD6),206,12.8 ,12.3 ,13.5 ,
Summer 2009,Brooklyn, Bensonhurst (CD11),311,10.5 ,10.4 ,10.7 ,
Summer 2010,Brooklyn, Bensonhurst (CD11),311,11.5 ,11.3 ,11.7 ,
Summer 2011,Brooklyn, Bensonhurst (CD11),311,11.1 ,11.0 ,11.3 ,
Summer 2012,Brooklyn, Bensonhurst (CD11),311,10.0 ,9.8 ,10.2 ,
Summer 2013,Brooklyn, Bensonhurst (CD11),311,9.8 ,9.6 ,10.0 ,
Summer 2014,Brooklyn, Bensonhurst (CD11),311,8.2 ,8.0 ,8.5 ,
Winter 2008-09,Brooklyn, Bensonhurst (CD11),311,11.7 ,11.3 ,12.2 ,
Winter 2009-10,Brooklyn, Bensonhurst (CD11),311,9.5 ,9.2 ,9.8 ,
Winter 2010-11,Brooklyn, Bensonhurst (CD11),311,12.0 ,11.8 ,12.3 ,
Winter 2011-12,Brooklyn, Bensonhurst (CD11),311,8.6 ,8.2 ,8.9 ,
