ACTIVE DATE,COUNTY,SED CODE,LEGAL NAME,INSTITUTION TYPE CODE,INSTUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE CODE,INSTITUTION SUB TYPE DESCRIPTION,NEEDS RESOURCE CODE,NEEDS RESOURCE DESCRIPTION,GRADE ORGANIZATION CODE,GRADE ORGANIZATION DESCRIPTION,COMMUNITY TYPE,COMMUNITY TYPE NAME,MAILING ADDRESS,CITY,STATE,ZIP,SALUTATION,CEO FIRST NAME,CEO LAST NAME,CEO PHONE,CEO EMAIL
7/1/1980,ALBANY,010100010000,ALBANY CITY SCHOOL DISTRICT,16,SCHOOL DISTRICTS,1,CITY,3,URBAN/SUBURBAN/HIGH NEEDS,,NA,73,Medium Cities,ACADEMY PARK,ALBANY,NY,12207,DR.,KIMBERLY,YOUNG WILKINS,5184756010,kwilkins@albany.k12.ny.us
7/1/1993,ALBANY,010100010014,MONTESSORI MAGNET SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,45 TREMONT ST,ALBANY,NY,12205,MR.,MALIK,JONES,5184756675,mjones@albany.k12.ny.us
7/1/1980,ALBANY,010100010016,PINE HILLS ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,41 N ALLEN ST,ALBANY,NY,12203,MS.,VIBETTA,SANDERS,5184756725,vsanders@albany.k12.ny.us
7/1/1980,ALBANY,010100010018,DELAWARE COMMUNITY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,43 BERTHA ST,ALBANY,NY,12209,DR.,KENNETH,LEIN,5184756750,klein@albany.k12.ny.us
7/1/1980,ALBANY,010100010019,NEW SCOTLAND ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,369 NEW SCOTLAND AVE,ALBANY,NY,12208,MR.,DAVID,AMODEO,5184756775,damodeo@albany.k12.ny.us
7/1/1980,ALBANY,010100010020,NORTH ALBANY ACADEMY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,570 N PEARL ST,ALBANY,NY,12204,MS.,LESLEY,BUFF,5184756800,lbuff@albany.k12.ny.us
7/1/1980,ALBANY,010100010023,ALBANY SCHOOL OF HUMANITIES,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,108 WHITEHALL RD,ALBANY,NY,12209,MR.,C FRED,ENGELHARDT,5184746575,fengelhardt@albany.k12.ny.us
7/1/1980,ALBANY,010100010027,EAGLE POINT ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,1044 WESTERN AVE,ALBANY,NY,12203,MS.,KENDRA,CHAIRES,5184756825,kchaires@albany.k12.ny.us
7/1/1980,ALBANY,010100010028,THOMAS S O'BRIEN ACADEMY OF SCIENCE & TECHNOLOGY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,94 DELAWARE AVE,ALBANY,NY,12202,MS.,SHELLETTE,PLEAT,5184756875,spleat@albany.k12.ny.us
7/1/1980,ALBANY,010100010029,GIFFEN MEMORIAL ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,274 S PEARL ST,ALBANY,NY,12202,MS.,JASMINE,BROWN,5184756650,jbrown@albany.k12.ny.us
7/1/1980,ALBANY,010100010030,WILLIAM S HACKETT MIDDLE SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,2,Middle School,73,Medium Cities,45 DELAWARE AVE,ALBANY,NY,12202,MR.,MICHAEL,PAOLINO,5184756475,mpaolino@albany.k12.ny.us
7/1/1980,ALBANY,010100010034,ALBANY HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,5,Senior High,73,Medium Cities,700 WASHINGTON AVE,ALBANY,NY,12203,MS.,DALE,GETTO,5184756200,agetto@albany.k12.ny.us
7/1/1980,ALBANY,010100010039,ARBOR HILL ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,1 ARBOR DR,ALBANY,NY,12207,MS.,ROSALIND,GAINES-HARRELL,5184756625,rgaines-harrell@albany.k12.ny.us
7/1/2004,ALBANY,010100010043,PHILIP J SCHUYLER ACHIEVEMENT ACADEMY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,676 CLINTON AVE,ALBANY,NY,12206,MR.,JOHN,MURPHY,5184756700,jmurphy@albany.k12.ny.us
7/1/2004,ALBANY,010100010044,SHERIDAN PREPARATORY ACADEMY,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,73,Medium Cities,400 SHERIDAN AVE,ALBANY,NY,12206,MS.,ZULEIKA,SANCHEZ-GAYLE,5184756850,zsanchezgayle@albany.k12.ny.us
7/1/2005,ALBANY,010100010045,STEPHEN AND HARRIET MYERS MIDDLE SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,2,Middle School,73,Medium Cities,100 ELBEL CT,ALBANY,NY,12209,MS.,KIMBERLY,WILKINS,5184756425,kwilkins@albany.k12.ny.us
7/1/1980,ALBANY,010100115658,SAINT ANNE INSTITUTE,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,4,Junior Senior School,73,Medium Cities,160 N MAIN AVE,ALBANY,NY,12206,MR.,RALPH,ROTHACKER,5184376573,rrothacker@s-a-i.org
7/1/1980,ALBANY,010100115665,BLESSED SACRAMENT SCHOOL,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,1,Elementary,73,Medium Cities,605 CENTRAL AVE,ALBANY,NY,12206,SISTER,PATRICIA,LYNCH,5184385854,bss@nycap.rr.com
7/1/1980,ALBANY,010100115671,MATER  CHRISTI SCHOOL,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,1,Elementary,73,Medium Cities,35 HURST AVE,ALBANY,NY,12208,MS.,THERESA,EWELL,5184893111,ewell@materchristischool.org
7/1/1980,ALBANY,010100115684,ALL SAINTS' CATHOLIC ACADEMY,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,1,Elementary,73,Medium Cities,10 ROSEMONT ST,ALBANY,NY,12203,MS.,TRACI,JOHNSON,5184380066,asca.principal@gmail.com
7/1/1980,ALBANY,010100115685,ACADEMY OF HOLY NAME-LOWER SCHOOL,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,1,Elementary,73,Medium Cities,1061 NEW SCOTLAND RD,ALBANY,NY,12208,MS.,COLLEEN,WAHL,5184387895,cwahl@ahns.org
7/1/1980,ALBANY,010100115705,LA SALLE SCHOOL,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,4,Junior Senior School,73,Medium Cities,391 WESTERN AVE,ALBANY,NY,12203,MR.,JAMES,MEYER,5182424731,jamesmeyer@lasalle-school.org
7/1/1980,ALBANY,010100115724,ACADEMY OF HOLY NAMES-UPPER SCHOOL,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,4,Junior Senior School,73,Medium Cities,1075 NEW SCOTLAND RD,ALBANY,NY,12208,MS.,MICHELE,MUSTO,5184387895,mmusto@ahns.org
7/1/1980,ALBANY,010100118044,BISHOP MAGINN HIGH SCHOOL,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,5,Senior High,73,Medium Cities,99 SLINGERLAND ST,ALBANY,NY,12202,MR.,CHRISTOPHER,SIGNOR,5184632247,signor@bishopmaginn.org
7/1/1980,ALBANY,010100208496,MAIMONIDES HEBREW DAY SCHOOL,14,NON-PUBLIC SCHOOLS,16,JEWISH,,,4,Junior Senior School,73,Medium Cities,404 PARTRIDGE ST,ALBANY,NY,12208,MR.,ISRAEL,RUBIN,5184539363,rralbany@gmail.com
7/1/1980,ALBANY,010100317828,SAINT MATTHEW LUTHERAN SCHOOL,14,NON-PUBLIC SCHOOLS,4,LUTHERAN,,,0,Pre-K Only,73,Medium Cities,75 WHITEHALL RD,ALBANY,NY,12209,MS.,GAIL,GRAY MACINTOSH,5184636495,gail_stmatt2@nycap.rr.com
7/1/2002,ALBANY,010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,73,Medium Cities,116 N LAKE AVE,ALBANY,NY,12206,MS.,KAREN,MCLEAN,5186948200,kmclean@brighterchoice.org
7/1/2002,ALBANY,010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,73,Medium Cities,250 CENTRAL AVE,ALBANY,NY,12206,MS.,TIA,CORNIEL,5186944100,tcorniel@brighterchoice.org
7/1/2005,ALBANY,010100860867,KIPP TECH VALLEY CHARTER SCHOOL,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,2,Middle School,73,Medium Cities,1 DUDLEY HEIGHTS,ALBANY,NY,12210,MR.,DUSTIN,MITCHELL,5186949494,dmitchell@kipptechvalley.org
7/1/2007,ALBANY,010100860892,HENRY JOHNSON CHARTER SCHOOL,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,73,Medium Cities,30 WATERVLIET AVE,ALBANY,NY,12206,DR.,TIFFANI,CURTIS,5184324300,tcurtis@henryjohnsoncs.org
7/1/2006,ALBANY,010100860899,ALBANY COMMUNITY CHARTER SCHOOL,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,1,Elementary,73,Medium Cities,65 KRANK ST,ALBANY,NY,12202,MR.,S NEAL,CURRIE,5184331500,ncurrie@albanycommunitycs.org
7/1/2007,ALBANY,010100860907,GREEN TECH HIGH CHARTER SCHOOL,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,5,Senior High,73,Medium Cities,321 NORTHERN BLVD,ALBANY,NY,12210,DR.,PAUL,MILLER,5186943400,pmiller@greentechhigh.org
7/1/2010,ALBANY,010100860960,ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,17,PUBLIC SCHOOLS,11,CHARTER SCHOOL,7,CHARTER SCHOOL,5,Senior High,73,Medium Cities,19 HACKETT BLVD,ALBANY,NY,12208,MS.,CHRISTINA,ROBERTS,5186945300,croberts@albanyleadershiphigh.org
2/25/2008,ALBANY,010100996053,HARRIET TUBMAN SCHOOL DEMOCRATIC HIGH SCHOOL,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,5,Senior High,73,Medium Cities,59 ELIZABETH ST ,ALBANY,NY,12202,MS.,ELIZABETH,CARIVAN,5183308385,lizcarivan@gmail.com
7/1/2014,ALBANY,010100996179,CASTLE ISLAND BILINGUAL MONTESSORI,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,1,Elementary,,New York City,10 N MAIN AVE,ALBANY,NY,12203,MS.,DIANE,NICKERSON,5185339838,diane@castleislandmontessori.org
7/1/2007,ALBANY,010100996428,ALBANY ACADEMIES (THE),14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,6,K-12 School,73,Medium Cities,135 ACADEMY RD,ALBANY,NY,12208,MR.,DOUGLAS,NORTH,5184292300,northd@albanyacademies.org
7/1/1980,ALBANY,010100996557,PARSONS CHILD AND FAMILY CENTER,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,7,Special School,73,Medium Cities,60 ACADEMY RD,ALBANY,NY,12208,MS.,JODI,EBEL,5184262628,jodi.ebel@parsonscenter.org
7/1/1980,ALBANY,010100997616,FREE SCHOOL,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,1,Elementary,73,Medium Cities,8 ELM ST,ALBANY,NY,12202,MS.,TERSHIA,ELLIS,5184343072,albanyfreeschool@gmail.com
7/1/1980,ALBANY,010100997791,SAINT CATHERINE'S CENTER FOR CHILDREN,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,1,Elementary,73,Medium Cities,30 N MAIN AVE,ALBANY,NY,12203,MR.,JEREMIAH,SPICER,5184536749,jspicer@st-cath.org
7/1/1980,ALBANY,010100997850,CENTER FOR DISABILITY SERVICES,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,7,Special School,73,Medium Cities,314 S MANNING BLVD,ALBANY,NY,12208,MS.,SUSAN,COOPER,5184375685,scooper@cfdsny.org
7/1/1980,ALBANY,010201040000,BERNE-KNOX-WESTERLO CENTRAL SCHOOL DISTRICT,16,SCHOOL DISTRICTS,4,CENTRAL,5,AVERAGE NEEDS,,NA,77,Small Central Districts,1738 HELDERBERG TRAIL,BERNE,NY,12023,DR.,TIMOTHY,MUNDELL,5188721293,tmundell@bkwcsd.k12.ny.us
7/1/1980,ALBANY,010201040001,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,17,PUBLIC SCHOOLS,4,PUBLIC SCHOOL CENTRAL,5,AVERAGE NEEDS,4,Junior Senior School,77,Small Central Districts,1738 HELDERBERG TRAIL,BERNE,NY,12023,MS.,MARNA,MELTZER MCMORRIS,5188721482,mmcmorris@bkwcsd.k12.ny.us
7/1/1980,ALBANY,010201040002,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,4,PUBLIC SCHOOL CENTRAL,5,AVERAGE NEEDS,1,Elementary,77,Small Central Districts,1738 HELDERBERG TRAIL,BERNE,NY,12023,MS.,LESLIE,SMITH,5188722030,lsmith@bkwcsd.k12.ny.us
7/1/2004,ALBANY,010201805052,HELDERBERG CHRISTIAN SCHOOL,14,NON-PUBLIC SCHOOLS,19,CHRISTIAN FUNDAMENTALIST,,,4,Junior Senior School,77,Small Central Districts,PO BOX 225,EAST BERNE,NY,12059,MR.,MICHAEL,COLLINS,5184995416,hcs.office@yahoo.com
7/1/1980,ALBANY,010306060000,BETHLEHEM CENTRAL SCHOOL DISTRICT,16,SCHOOL DISTRICTS,7,INDEPENDENT CENTRAL,6,LOW NEEDS,,NA,75,Large Central & Village Dist,700 DELAWARE AVE,DELMAR,NY,12054,MS.,JODY,MONROE,5184397098,jmonroe@bcsd.neric.org
7/1/1980,ALBANY,010306060003,ELSMERE ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,6,LOW NEEDS,1,Elementary,75,Large Central & Village Dist,247 DELAWARE AVE,DELMAR,NY,12054,MS.,KATHERINE,KLOSS,5184394996,kloskels@bcsd.neric.org
7/1/1980,ALBANY,010306060004,GLENMONT ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,6,LOW NEEDS,1,Elementary,75,Large Central & Village Dist,PO BOX 994,GLENMONT,NY,12077,MS.,LAURA,HEFFERNAN,5184631154,lheffernan@bcsd.neric.org
7/1/1980,ALBANY,010306060005,HAMAGRAEL ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,6,LOW NEEDS,1,Elementary,75,Large Central & Village Dist,1 MCGUFFEY LN,DELMAR,NY,12054,MR.,DAVID,KSANZNAK,5184394905,kdandham@bcsd.neric.org
7/1/1980,ALBANY,010306060006,SLINGERLANDS ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,6,LOW NEEDS,1,Elementary,75,Large Central & Village Dist,25 UNION AVE,DELMAR,NY,12054,MS.,HEIDI,BONACQUIST,5184397681,bonahsli@bcsd.neric.org
7/1/1980,ALBANY,010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,6,LOW NEEDS,2,Middle School,75,Large Central & Village Dist,332 KENWOOD AVE,DELMAR,NY,12054,MR.,MICHAEL,KLUGMAN,5184397460,mklugman@bcsd.neric.org
7/1/1980,ALBANY,010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,6,LOW NEEDS,5,Senior High,75,Large Central & Village Dist,700 DELAWARE AVE,DELMAR,NY,12054,MR.,SCOTT,LANDRY,5184394921,slandry@bcsd.neric.org
7/1/2008,ALBANY,010306060009,EAGLE ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,4,PUBLIC SCHOOL CENTRAL,6,LOW NEEDS,1,Elementary,75,Large Central & Village Dist,27 VAN DYKE RD,DELMAR,NY,12054,MS.,DIANNA,REAGAN,5186948825,dreagan@bcsd.neric.org
7/1/1980,ALBANY,010306115761,SAINT THOMAS THE APOSTLE SCHOOL,14,NON-PUBLIC SCHOOLS,8,ROMAN CATHOLIC - ALBANY DIOCESE,,,1,Elementary,75,Large Central & Village Dist,42 ADAMS PL,DELMAR,NY,12054,MR.,THOMAS,KANE,5184395573,tkane@stthomas-school.org
7/1/2001,ALBANY,010306809859,MT MORIAH ACADEMY,14,NON-PUBLIC SCHOOLS,19,CHRISTIAN FUNDAMENTALIST,,,4,Junior Senior School,75,Large Central & Village Dist,PO BOX 160,GLENMONT,NY,12077,MS.,ANNA,YOUNG,5184264510,mmca_afy@aol.com
7/1/1996,ALBANY,010306999575,BETHLEHEM CHILDRENS SCHOOL,14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,1,Elementary,75,Large Central & Village Dist,PO BOX 235,SLINGERLANDS,NY,12159,MS.,HEATHER,LEVILLE,5184780224,heather@bethlehemchildrensschool.org
7/1/1980,ALBANY,010402060000,RAVENA-COEYMANS-SELKIRK CENTRAL SCHOOL DISTRICT,16,SCHOOL DISTRICTS,7,INDEPENDENT CENTRAL,5,AVERAGE NEEDS,,NA,76,Medium Central Districts,PO BOX 100,RAVENA,NY,12143,MR.,ROBERT,LIBBY,5187565200,rlibby@rcscsd.org
7/1/1980,ALBANY,010402060001,RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,5,AVERAGE NEEDS,5,Senior High,76,Medium Central Districts,2025 RT 9W,RAVENA,NY,12143,MR.,THOMAS,DIACETIS,5187565200,tdiacetis@rcscsd.org
7/1/1980,ALBANY,010402060002,ALBERTUS W BECKER SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,5,AVERAGE NEEDS,1,Elementary,76,Medium Central Districts,1146 RT 9W,SELKIRK,NY,12158,MS.,TRICIA,CARLTON,5187565200,tcarlton@rcscsd.org
7/1/1980,ALBANY,010402060003,PIETER B COEYMANS SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,5,AVERAGE NEEDS,1,Elementary,76,Medium Central Districts,66 CHURCH ST,COEYMANS,NY,12045,MR.,HAKIM,JONES,5187565200,hjones@rcscsd.org
7/1/1980,ALBANY,010402060008,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,5,AVERAGE NEEDS,2,Middle School,76,Medium Central Districts,2025 RT 9W,RAVENA,NY,12143,MS.,PAMELA,BLACK,5187565200,pblack@rcscsd.org
7/1/1980,ALBANY,010500010000,COHOES CITY SCHOOL DISTRICT,16,SCHOOL DISTRICTS,1,CITY,3,URBAN/SUBURBAN/HIGH NEEDS,,NA,74,Small Cities,7 BEVAN ST,COHOES,NY,12047,MS.,JENNIFER,SPRING,5182370100,jspring@cohoes.org
7/1/1980,ALBANY,010500010005,ABRAM LANSING SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,Small Cities,26 JAMES ST,COHOES,NY,12047,MR.,CLIFFORD,BIRD,5182375044,cbird@cohoes.org
7/1/1980,ALBANY,010500010006,VAN SCHAICK ISLAND SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,Small Cities,150 CONTINENTAL AVE,COHOES,NY,12047,MS.,JACQUELINE,DECHIARO,5182372828,jdechiar@cohoes.org
7/1/1980,ALBANY,010500010007,COHOES HIGH SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,5,Senior High,74,Small Cities,1 TIGER WAY,COHOES,NY,12047,MR.,JOSEPH,RAJCZAK,5182379100,jrajczak@cohoes.org
7/1/1980,ALBANY,010500010008,COHOES MIDDLE SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,2,Middle School,74,Small Cities,7 BEVAN ST,COHOES,NY,12047,MR.,DANIEL,MARTINELLI,5182374131,dmartine@cohoes.org
7/1/1987,ALBANY,010500010009,HARMONY HILL SCHOOL,17,PUBLIC SCHOOLS,1,PUBLIC SCHOOL CITY,3,URBAN/SUBURBAN/HIGH NEEDS,1,Elementary,74,Small Cities,MADELON K HICKEY WAY,COHOES,NY,12047,MR.,MARK,PERRY,5182331900,mperry@cohoes.org
7/1/2009,ALBANY,010500996017,"ALBANY MONTESSORI EDUCATION CENTER, LLC",14,NON-PUBLIC SCHOOLS,21,INDEPENDENT,,,1,Elementary,74,Small Cities,514 OLD LOUDON RD,COHOES,NY,12047,MS.,DEBORAH,BOSWELL,5182504401,dboswell@boghtmontessori.com
7/1/1980,ALBANY,010601060000,SOUTH COLONIE CENTRAL SCHOOL DISTRICT,16,SCHOOL DISTRICTS,7,INDEPENDENT CENTRAL,5,AVERAGE NEEDS,,NA,75,Large Central & Village Dist,102 LORALEE DR,ALBANY,NY,12205,MR.,JONATHAN,BUHNER,5188693576,jonathan.buhner@southcolonie.k12.ny.us
7/1/1989,ALBANY,010601060003,ROESSLEVILLE SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,5,AVERAGE NEEDS,1,Elementary,75,Large Central & Village Dist,100 CALIFORNIA AVE,ALBANY,NY,12205,MS.,MARYBETH,TEDISCO,5184592157,marybeth.tedisco@southcolonie.k12.ny.us
7/1/1990,ALBANY,010601060005,SADDLEWOOD ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,5,AVERAGE NEEDS,1,Elementary,75,Large Central & Village Dist,100 LORALEE DR,ALBANY,NY,12205,MR.,MICHAEL,MAROHN,5184562608,michael.marohn@southcolonie.k12.ny.us
7/1/1980,ALBANY,010601060006,SHAKER ROAD ELEMENTARY SCHOOL,17,PUBLIC SCHOOLS,7,PUBLIC SCHOOL INDEPENDENT CENTRAL,5,AVERAGE NEEDS,1,Elementary,75,Large Central & Village Dist,512 ALBANY SHAKER RD,ALBANY,NY,12211,MR.,WILLIAM,DOLLARD,5184581440,bill.dollard@southcolonie.k12.ny.us
